Species_Name,Taxonomic_Group,MFT
Acanthochiasma sp,Radiolaria,eSNCM
Acanthometra fusca,Radiolaria,eSNCM
Acanthodesmia vinculata,Radiolaria,eSNCM
Acanthometra pellucida,Radiolaria,eSNCM
Acanthometron sp.,Radiolaria,eSNCM
Acanthometron pellucida,Radiolaria,eSNCM
Acanthostaurus conacanthus,Radiolaria,eSNCM
Acanthostaurus nordgaardi,Radiolaria,eSNCM
Acanthostaurus purpurascens,Radiolaria,eSNCM
Acrosphaera murrayana,Radiolaria,eSNCM
Acrosphaera spinosa,Radiolaria,eSNCM
Actinomma boreale,Radiolaria,eSNCM
Akashiwo sanguinea,Dinoflagellata,CM
Alexandrium andersonii,Dinoflagellata,CM
Alexandrium catenella,Dinoflagellata,CM
Alexandrium minutum,Dinoflagellata,CM
Alexandrium ostenfeldii,Dinoflagellata,CM
Alexandrium pacificum,Dinoflagellata,CM
Alexandrium pohangense,Dinoflagellata,CM
Alexandrium pseudogonyaulax,Dinoflagellata,CM
Amphibelone anomala,Radiolaria,eSNCM
Amphibelone cultellata,Radiolaria,eSNCM
Amphibelone heteracanthum,Radiolaria,eSNCM
Amphidiniella sedentaria,Dinoflagellata,CM
Amphidinium carterae,Dinoflagellata,CM
Amphidinium scissum,Dinoflagellata,CM*
Amphidinium steinii,Dinoflagellata,CM*
Amphilonche elongata,Radiolaria,eSNCM
Amphisolenia bidentata,Dinoflagellata,eSNCM
Amphisolenia brevicauda,Dinoflagellata,eSNCM
Amphisolenia elongata,Dinoflagellata,eSNCM
Amphisolenia globifera,Dinoflagellata,eSNCM
Amphisolenia inflata,Dinoflagellata,eSNCM
Amphisolenia laticincta,Dinoflagellata,eSNCM
Amphisolenia palmata,Dinoflagellata,eSNCM
Amphisolenia rectangulata,Dinoflagellata,eSNCM
Amphisolenia schauinslandii,Dinoflagellata,eSNCM
Amphisolenia thrinax,Dinoflagellata,eSNCM
Amphisorus hemprichii,Foraminifera,eSNCM
Amphistaurus tetrapterus,Radiolaria,eSNCM
Amylax triacantha,Dinoflagellata,pSNCM
Amylax triacantha var. buxus,Dinoflagellata,pSNCM
Androcyclas gamphonycha,Radiolaria,eSNCM
